OTUID,Fun.1.H.A.K,Fun.1.H.A.L,Fun.1.H.A.M,Fun.1.H.B.K,Fun.1.H.B.L,Fun.1.H.B.M,Fun.1.H.C.K,Fun.1.H.C.L,Fun.1.H.C.M,Fun.1.H.D.K,Fun.1.H.D.L,Fun.1.H.D.M,Fun.1.P.A.K,Fun.1.P.A.L,Fun.1.P.A.M,Fun.1.P.B.K,Fun.1.P.B.L,Fun.1.P.B.M,Fun.1.P.C.K,Fun.1.P.C.L,Fun.1.P.C.M,Fun.1.P.D.K,Fun.1.P.D.L,Fun.1.P.D.M,Fun.2.H.A.K,Fun.2.H.A.L,Fun.2.H.A.M,Fun.2.H.B.K,Fun.2.H.B.L,Fun.2.H.B.M,Fun.2.H.C.K,Fun.2.H.C.L,Fun.2.H.C.M,Fun.2.H.D.K,Fun.2.H.D.L,Fun.2.H.D.M,Fun.2.P.A.K,Fun.2.P.A.L,Fun.2.P.A.M,Fun.2.P.B.K,Fun.2.P.B.L,Fun.2.P.B.M,Fun.2.P.C.K,Fun.2.P.C.L,Fun.2.P.C.M,Fun.2.P.D.K,Fun.2.P.D.L,Fun.2.P.D.M,Fun.3.H.A.K,Fun.3.H.A.L,Fun.3.H.A.M,Fun.3.H.B.K,Fun.3.H.B.L,Fun.3.H.B.M,Fun.3.H.C.K,Fun.3.H.C.L,Fun.3.H.C.M,Fun.3.H.D.K,Fun.3.H.D.L,Fun.3.H.D.M,Fun.3.P.A.K,Fun.3.P.A.L,Fun.3.P.A.M,Fun.3.P.B.K,Fun.3.P.B.L,Fun.3.P.B.M,Fun.3.P.C.K,Fun.3.P.C.L,Fun.3.P.C.M,Fun.3.P.D.K,Fun.3.P.D.L,Fun.3.P.D.M
5001dd796db26cebf0a25a6807562878,106,141,209,154,190,238,102,161,344,82,99,165,44,157,90,211,107,113,97,175,101,101,7,190,55,93,94,116,157,70,71,104,80,51,75,41,137,143,127,149,82,105,181,260,149,58,118,92,57,27,56,115,79,20,53,47,73,43,74,27,74,126,29,22,32,18,10,35,33,50,14,3
50c445cfbff14379286e1547ec201bdf,15,96,1,0,239,0,53,14,0,9,17,4,0,0,0,0,34,0,8,4,0,0,1,3,3,137,6,15,80,7,124,35,12,76,118,25,52,231,17,20,98,25,46,40,2,0,87,12,63,252,6,83,193,114,314,288,125,164,25,285,21,37,4,57,226,120,327,10,4,309,89,318
191031bde9a720c8c389ce0632c40e50,8,9,0,1,7,2,4,1,1,4,2,6,226,184,354,7,231,252,17,19,361,213,450,17,3,1,0,1,0,0,0,1,2,0,0,0,13,2,3,4,2,0,14,1,3,15,8,7,0,0,1,0,0,0,0,3,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0
281b23d3b8e8657074caa82e4fd47fa0,33,16,10,57,35,39,33,77,30,44,45,30,3,17,6,20,23,24,60,19,16,21,0,23,35,17,56,40,96,42,49,36,40,48,84,26,19,22,21,34,18,30,62,39,65,18,51,31,31,12,13,38,42,13,42,11,59,32,40,25,12,19,12,8,17,7,10,4,29,27,9,1
b01566ee594bc7b776f3af73b7f5e0f5,54,40,42,63,17,46,33,51,42,60,114,65,20,28,28,73,49,143,57,80,30,61,4,79,5,1,39,12,5,12,13,11,7,8,6,13,36,28,41,85,36,17,56,66,60,40,50,35,4,3,4,3,2,1,5,3,6,5,5,1,6,8,5,0,6,3,0,3,6,12,1,1
14c343430600b585adda29b0e5c95066,22,19,0,0,3,1,2,10,1,16,13,1,1,0,0,0,0,0,0,0,3,0,5,0,3,252,14,2,20,18,10,16,33,28,33,7,7,24,23,1,2,17,0,3,8,0,22,2,61,122,19,25,4,50,27,4,11,48,2,19,118,203,120,394,33,302,152,156,194,36,361,175
6022db20d25a60692250b9e26b12dda5,0,0,239,0,2,0,1,2,0,0,0,0,0,9,18,4,9,0,0,1,1,0,0,84,0,15,0,2,85,0,5,23,17,0,0,0,0,0,53,24,64,0,68,14,0,1,0,0,0,56,0,0,33,0,0,9,1,0,0,3,0,1,0,0,0,0,0,287,20,0,0,0
3f5a33b7899ceaa148410ef5be09a959,9,4,2,6,5,18,15,9,19,10,24,3,7,13,12,31,37,43,26,16,11,13,9,41,4,0,33,2,4,84,19,9,48,10,13,58,38,2,15,5,10,14,6,20,26,50,15,35,16,1,67,24,11,53,10,8,25,7,8,82,64,3,54,11,35,36,5,11,85,0,17,12
4bf48869704084b741078e3613b7f901,41,64,2,17,55,26,50,57,16,35,26,18,5,0,3,4,25,4,30,11,20,3,6,6,11,17,21,39,17,14,37,27,19,85,67,10,43,29,27,15,25,47,22,45,31,11,19,23,52,24,22,24,91,29,22,35,17,66,10,35,36,52,19,39,27,33,30,48,38,28,18,19
348bc3a16c07475392794809c998aefe,42,23,13,28,16,12,15,20,4,16,7,64,12,13,3,33,37,27,13,14,4,12,0,20,22,17,25,14,10,26,12,10,8,12,6,14,17,16,27,15,13,21,15,30,34,4,32,20,9,10,9,6,11,9,5,7,10,4,14,14,24,13,17,5,6,3,3,8,13,0,7,4
