	Bac.1.H.A.K	Bac.1.H.A.L	Bac.1.H.A.M	Bac.1.H.B.K	Bac.1.H.B.L	Bac.1.H.B.M	Bac.1.H.C.K	Bac.1.H.C.L	Bac.1.H.C.M	Bac.1.H.D.K	Bac.1.H.D.L	Bac.1.H.D.M	Bac.1.P.A.K	Bac.1.P.A.L	Bac.1.P.A.M	Bac.1.P.B.K	Bac.1.P.B.L	Bac.1.P.B.M	Bac.1.P.C.K	Bac.1.P.C.L	Bac.1.P.C.M	Bac.1.P.D.K	Bac.1.P.D.L	Bac.1.P.D.M	Bac.2.H.A.K	Bac.2.H.A.L	Bac.2.H.A.M	Bac.2.H.B.K	Bac.2.H.B.L	Bac.2.H.B.M	Bac.2.H.C.K	Bac.2.H.C.L	Bac.2.H.C.M	Bac.2.H.D.K	Bac.2.H.D.L	Bac.2.H.D.M	Bac.2.P.A.K	Bac.2.P.A.L	Bac.2.P.A.M	Bac.2.P.B.K	Bac.2.P.B.L	Bac.2.P.B.M	Bac.2.P.C.K	Bac.2.P.C.L	Bac.2.P.C.M	Bac.2.P.D.K	Bac.2.P.D.L	Bac.2.P.D.M	Bac.3.H.A.K	Bac.3.H.A.L	Bac.3.H.A.M	Bac.3.H.B.K	Bac.3.H.B.L	Bac.3.H.B.M	Bac.3.H.C.K	Bac.3.H.C.L	Bac.3.H.C.M	Bac.3.H.D.K	Bac.3.H.D.L	Bac.3.H.D.M	Bac.3.P.A.K	Bac.3.P.A.L	Bac.3.P.A.M	Bac.3.P.B.K	Bac.3.P.B.L	Bac.3.P.B.M	Bac.3.P.C.K	Bac.3.P.C.L	Bac.3.P.C.M	Bac.3.P.D.K	Bac.3.P.D.L	Bac.3.P.D.M
Bac.1.H.A.K	0.0	66.651650460007	65.66370794602287	68.58932367527618	67.61902855535726	64.4502951560032	67.02066929081228	66.41290660868421	68.1017915668772	70.28174453578109	70.7909046576862	69.75058261476232	61.58082763740606	65.06751147217001	66.64866607935541	64.80523558071356	64.35656354379246	64.52174760046091	65.74122938157487	64.40785242949863	64.73573194150359	65.39157365995605	64.96181255343926	65.37161221693945	66.15648872152616	65.2923224245015	66.69239955548129	64.94316275819546	65.35293551562853	64.74704116569933	66.49005839493742	67.69928848465669	64.79574420090695	66.77807612017523	66.31054445025109	65.32206784139294	63.814694717013076	64.28246721556954	65.3110065771759	63.95823493778374	61.76749636147492	65.43474993702259	66.70837201938707	62.73443869914807	64.84480624189567	67.12475461378284	64.78712059456872	64.41612516140397	66.41094614143191	62.888192561307015	68.30708767140341	63.1559490053643	64.53105453331688	62.61245226977135	66.77508464789693	65.76670878325368	66.71523788570354	66.53648959064144	67.15917459834571	65.33176452969757	64.45176717690029	63.90159660474665	63.505790215992874	63.15517319546154	65.51137277977281	65.40631534247831	66.4830205368294	65.13240739593171	68.22867688299748	67.87256746112683	65.03583329608486	64.33278415532212
Bac.1.H.A.L	66.651650460007	0.0	65.69981263334319	67.53233572074822	67.38905359213962	65.52072038928306	66.38747458661815	66.5927153949526	67.25875661940977	69.73014253899014	69.81436767718387	70.06760663091485	64.56786091722391	65.35986374805654	67.93089098853712	65.01710587438623	65.25123718302555	64.34401175377155	65.67841721312176	66.1252256408057	65.30785459843321	65.40639402462577	65.14045491564501	65.00475054903747	67.58406120389132	65.78405316518429	67.50679829967486	65.66539483132722	66.46789177063344	64.93570515552359	66.25383756988154	67.35834066829851	65.65913368989084	66.86910653385168	65.96921518634984	64.55687304162328	64.42587806499368	64.39174533154579	65.6629827193765	64.70593198453581	63.01807430593693	65.24725750247953	65.51323319895167	62.942231383408945	64.84335873826004	65.82859041331872	65.24094375981835	64.0561832610542	65.95013244937282	63.189600787401154	68.27549648722255	63.833856586377465	64.59465984876454	62.30337130131805	66.33448115869679	66.00155412701616	65.83439118275052	65.80810169389733	67.62111305178526	66.07650056677512	65.83072353779161	62.80985006219682	64.79029375450143	64.03404512866726	65.09411555658079	65.00305558917843	66.89649358858058	64.69124453170227	66.21848607735443	67.25585408817174	64.75960688017237	65.29769407520406
Bac.1.H.A.M	65.66370794602287	65.69981263334319	0.0	67.33472981207566	68.05120275671321	64.9381653507512	66.42017559156255	66.18698633447255	67.24743424990778	70.51029776964376	70.35533174205723	70.13514321439543	63.900162378181605	66.27700577831796	67.46272936572443	64.26741682265168	64.95800714626432	65.05516963471666	66.00454522253125	65.30281470092912	65.42682392720184	65.34371178365984	65.61759023322905	64.92631831175015	66.0769353587365	65.32787680076103	66.33570455866885	64.37460618665094	64.67337716613224	65.36321467077431	64.32297088645525	66.2509402978055	64.97318554396297	66.24851302755863	66.22079150379798	64.93636599725984	64.85937807179327	63.33138510465585	64.10232695530908	63.97156807702892	62.48627391208744	64.50347540396	65.2553826865636	62.61125840588839	64.25255788786254	65.72442539454659	64.26118671084744	64.15676099021789	65.09691701405072	61.567133163635745	67.67940597152597	62.73438158602981	63.448637398524276	62.62466252519241	66.3450975630919	64.45423462553515	65.43222006492644	64.98495572296056	66.54906632964831	65.22606544844761	64.1620779791053	62.82826352218138	63.41665470720796	63.90145973307941	65.6404303819057	63.54351130818089	65.6549430758029	65.30162323386058	67.19983950398861	67.49958871244417	65.52244676818289	64.57597747620994
Bac.1.H.B.K	68.58932367527618	67.53233572074822	67.33472981207566	0.0	68.20724410230561	66.58690303041139	68.15824437579329	67.4628293285764	66.96448990001649	70.43799840301557	71.38259160893847	70.16967753966186	66.04022560570613	66.49253566831926	69.28891926839127	66.5910513904615	67.89107735212251	67.24675010491373	66.99934513744509	67.83721942819713	67.08123107229727	66.34478013881211	68.0695304567916	66.21506410469833	67.20684025718559	64.92625851949337	67.89792118993174	66.28743307769763	66.27408944173746	67.69524093931416	66.27038789042858	67.1931243724632	66.09551408708333	69.16731937842218	67.08500919308638	66.67613328962172	67.43120689094339	66.23312877584631	67.15077647046569	65.1530393300599	64.51870881563632	67.94612187143099	67.24728408283933	64.47747384583775	66.93209651904706	67.59871168590212	65.50685093020947	66.29734712801479	67.2279391023457	62.5588226559989	68.10419367185379	64.95738711622514	65.33544527096835	64.42183761735058	67.9770535215197	65.62871275911021	66.27813669432481	66.96938668512054	67.0498250874933	65.74668799891623	65.05951556830868	65.54657971110137	65.39399620000823	65.54632972356474	66.43812547147876	66.20788039786038	67.87970696769453	67.17872613368525	67.74562628478265	67.56303825074423	67.03180029197156	67.80116741220563
Bac.1.H.B.L	67.61902855535726	67.38905359213962	68.05120275671321	68.20724410230561	0.0	65.93359685559885	67.4651297484552	68.22027464823076	67.03858921609746	70.84665513624402	71.08132231322843	72.11671833326442	64.06056218152874	65.95213143719066	68.45755407735102	65.23783714043755	65.04128169915658	64.83936008125076	66.66714495750358	66.01090700782734	64.24270748055687	65.88864634333612	65.1507978860028	65.72509529008286	67.62028916321275	66.17085626454042	67.65741330430235	66.77553235781221	66.22693173345542	67.0348663441572	66.0037000135834	68.23861390404885	66.13839863496167	67.31748297496094	67.01931923656507	66.87906000738619	65.95411676130657	66.04379848839665	66.58937900253184	65.2979536302781	62.624579703465194	67.62352725774441	66.41083232862951	63.07642780652464	67.52457912116641	67.57440670108869	65.78520029661891	65.92483454003411	67.87835853335687	62.96323048276136	68.7998439711044	63.799346491972564	65.3934602101602	64.68108260241034	68.80695113076177	66.74034487658037	67.5306996714502	67.12293557948963	68.00583638543576	66.27750182141378	66.76223730041399	64.42979427438696	64.57631637359444	64.32865585873682	65.54908987476209	66.06803679980908	68.3040614430262	66.70387906924043	67.42353946325234	67.49702889920043	66.87698474710777	65.00422063379662
Bac.1.H.B.M	64.4502951560032	65.52072038928306	64.9381653507512	66.58690303041139	65.93359685559885	0.0	65.23331007608337	65.78040020477363	65.28238318326879	70.10732783207375	69.58328757011705	68.85426383814493	63.28297533398228	65.1463732200191	67.22795422324074	64.4008240180182	65.09274241837882	64.24763551758922	64.9319162398749	65.24281673596336	64.32151538725923	65.18324881334507	66.02685034646437	65.47272526146476	65.62720752166632	64.72804725889755	66.29097625358877	64.16134590360478	63.93521813397215	64.92867345364333	65.08670561646406	66.53733309415136	64.2779518434165	67.12284370883059	65.30423044220538	64.54922233322856	63.58889447204369	63.835959161097115	63.96378501185759	63.07039010968747	61.44182427613966	64.2227041826443	64.50996990545693	61.172651558508385	64.11266403736929	65.98788019360968	63.07499015310115	64.23648855424204	66.20660039864299	61.49855972118763	66.91504746661191	62.393640683565835	63.519583110993416	61.69805625784919	65.47161145807611	64.89388824250388	64.71505333609802	66.01180430192365	65.99594850594916	64.12164452916468	62.60142701451055	63.824349736878524	63.808675524066025	63.91554967432748	65.20163965216845	64.20453284155252	66.37702105879087	64.29526154902554	66.76978662077772	66.40170615772129	66.10666652861042	65.01291405239921
Bac.1.H.C.K	67.02066929081228	66.38747458661815	66.42017559156255	68.15824437579329	67.4651297484552	65.23331007608337	0.0	67.74756005045421	68.04881817850664	70.63913378184746	70.90679185720745	70.60516516322583	65.34135060053823	67.25164299646343	67.88190298147703	64.24250154146458	65.9863341838351	66.51116018852862	66.10511227424703	65.92181854523818	65.3447806828675	65.58010117941778	65.82224635344873	66.4654228064281	68.65080977603833	66.68044375294454	66.48166662246354	66.3565583991686	65.62460585572569	65.98862238435169	65.241858898308	67.02119638860029	65.50731084324904	66.75737009083065	67.19343984602817	66.55748616358468	65.16796442375575	65.17754734599708	64.61278705985356	65.61378589781636	62.07451213165699	65.31331705734296	66.42743008360696	63.39091049488037	65.01395531807998	66.38446478249406	65.90775222215328	65.46189660012244	67.60763411809702	64.10508306363681	69.32751035955368	63.6420274003274	65.6923511344208	63.94164206369066	66.57554758578738	65.84820027301471	65.6611312304134	65.77223572228004	67.14336133207976	65.53982266490074	66.51664483570234	64.64891835801009	64.8801341462987	64.84585595977414	66.14384076437031	64.95038132187754	66.54620218718053	65.76578459105644	67.17552757587974	66.73104351943918	65.39889400625022	65.5555371654765
Bac.1.H.C.L	66.41290660868421	66.5927153949526	66.18698633447255	67.4628293285764	68.22027464823076	65.78040020477363	67.74756005045421	0.0	66.78987209350295	70.36767797258462	71.09221163710585	70.52577598864552	64.84623283992252	66.90102293737547	68.67707041319387	67.05645970538002	66.56347565018733	65.19079531917934	66.53040219887855	66.92609253577582	66.29593056855542	66.35853824346263	67.39870830734468	65.8229026447715	67.45881489187991	65.40184162651971	66.55930819992494	64.05503962341811	65.43862664169431	65.2951690471994	65.90371024184725	66.03055016839849	64.70428843424786	67.15827492214504	66.3424422412712	66.38969099620176	65.71281583327377	64.3062928861286	66.09331352167928	64.11247670425276	62.5071738109574	66.06088718850393	65.89214675922987	62.93465488153868	65.73929376032032	66.60973196582381	66.55249713032393	64.940414490809	66.3888175320338	62.34028784361952	68.58125350013597	64.69465786268103	64.43276956913552	63.609617277428605	66.61137885934238	66.6400658225472	67.02489834150232	67.15408563301831	66.43392020473212	67.16270580953693	65.44863339780215	64.57889374734674	64.50166573234625	65.12112482427747	65.31297335768645	64.54688465943057	68.50471530011632	65.73838879376481	66.86357045979572	67.02489621927428	65.87751844339597	65.64297084171146
Bac.1.H.C.M	68.1017915668772	67.25875661940977	67.24743424990778	66.96448990001649	67.03858921609746	65.28238318326879	68.04881817850664	66.78987209350295	0.0	71.02978545565446	70.91302788050902	70.60193527038878	65.09887952136586	66.0871668180308	69.18093523932467	65.6193388513302	67.20593980961748	66.62773799336719	66.07613831293632	66.86157134617056	65.9742083336529	67.2934063123107	67.18847734711227	66.02883393263664	67.22645319761382	64.96707241751224	65.84252656202659	66.48870392765599	66.87684918112893	66.77832534957474	66.47315574146438	67.01836190222059	65.09944457011179	67.55421075071946	67.35615350593342	65.58680356156997	65.5323864391164	64.97009817266934	66.1188207142095	64.22859344709704	63.48083537496889	67.49626784373203	65.56959479946629	63.692580886288226	65.70001218433833	66.87807172792489	65.67448437087232	65.14738301070709	67.2167758210764	62.43233780956047	68.25231768831735	63.521823142163896	64.78341064259239	64.30827630170288	66.86753261455388	65.51261865024766	65.85074102221981	66.69121490569438	66.72769282084265	65.85453653125089	65.48715350970438	64.39378017626522	64.75180385208417	64.93701923074823	66.20586989296827	65.13859863596544	69.08186190050485	66.30474783351445	67.54500101835352	65.94906756016984	66.82079071658778	66.23153892961571
Bac.1.H.D.K	70.28174453578109	69.73014253899014	70.51029776964376	70.43799840301557	70.84665513624402	70.10732783207375	70.63913378184746	70.36767797258462	71.02978545565446	0.0	72.32974761321557	72.60900932695262	67.70433770474747	69.65944329881387	71.61406559495134	69.24657632733415	69.14064116685076	68.6845543685325	69.46354223981635	69.01499272764006	68.45434682959741	67.77481991309303	68.45807434421555	69.08159478418186	71.34621896725395	69.65039135086012	70.59903197802527	69.92417858282373	70.09529616044652	69.80340166748712	69.35321725990649	70.14067123355538	69.05675443571293	70.1540940725951	70.10711867618956	69.52681497274635	69.04600066641022	69.73253494919058	68.85835995854333	67.86324485209818	66.19893862822214	70.02834660186245	69.33655013136602	67.30494384534448	68.45638553608912	69.02622274001935	69.70872675665504	67.69250655342313	70.69878627943321	66.73273835064438	71.89348784006745	67.57788700772059	68.78814619795517	68.4307397455391	71.07573113268872	68.9995309697867	69.4723951941898	69.69996958474806	71.2838755638874	69.27067715842382	68.50403731206416	67.70015650560256	68.7048344655731	68.34648156652185	69.32863130231102	68.72199141820363	70.83857090982362	69.89450293106597	70.17735441455378	70.66207446749563	69.32830330451807	69.16326589687564
