SampleID	faith_pd
Bac.1.H.A.K	33.4111188
Bac.1.H.A.L	30.28917645
Bac.1.H.A.M	27.90666712
Bac.1.H.B.K	32.54268977
Bac.1.H.B.L	29.70977288
Bac.1.H.B.M	26.32907017
Bac.1.H.C.K	28.73468351
Bac.1.H.C.L	37.46238366
Bac.1.H.C.M	33.94704718
Bac.1.H.D.K	39.74948874
Bac.1.H.D.L	42.16600133
Bac.1.H.D.M	42.04779213
Bac.1.P.A.K	18.57578679
Bac.1.P.A.L	22.55023333
Bac.1.P.A.M	27.81017908
Bac.1.P.B.K	21.70559277
Bac.1.P.B.L	23.0170541
Bac.1.P.B.M	20.12807825
Bac.1.P.C.K	25.16269046
Bac.1.P.C.L	24.19011458
Bac.1.P.C.M	23.30700714
Bac.1.P.D.K	21.97727216
Bac.1.P.D.L	19.59062162
Bac.1.P.D.M	22.46478006
Bac.2.H.A.K	32.4371892
Bac.2.H.A.L	26.70742166
Bac.2.H.A.M	40.89032697
Bac.2.H.B.K	28.60950089
Bac.2.H.B.L	26.38859996
Bac.2.H.B.M	25.1776861
Bac.2.H.C.K	22.86294038
Bac.2.H.C.L	27.35496433
Bac.2.H.C.M	25.04072828
Bac.2.H.D.K	26.12415851
Bac.2.H.D.L	27.40252708
Bac.2.H.D.M	29.96310859
Bac.2.P.A.K	24.18474372
Bac.2.P.A.L	22.48943507
Bac.2.P.A.M	24.48394669
Bac.2.P.B.K	22.49356973
Bac.2.P.B.L	16.62795005
Bac.2.P.B.M	27.4943804
Bac.2.P.C.K	26.2525149
Bac.2.P.C.L	16.88198801
Bac.2.P.C.M	28.91611971
Bac.2.P.D.K	27.08585299
Bac.2.P.D.L	24.59141013
Bac.2.P.D.M	21.42228384
Bac.3.H.A.K	28.979666
Bac.3.H.A.L	17.96689654
Bac.3.H.A.M	35.89814226
Bac.3.H.B.K	19.18497712
Bac.3.H.B.L	26.61834567
Bac.3.H.B.M	20.52912992
Bac.3.H.C.K	31.25917015
Bac.3.H.C.L	25.98161033
Bac.3.H.C.M	26.90943867
Bac.3.H.D.K	24.61751964
Bac.3.H.D.L	31.59349934
Bac.3.H.D.M	30.3817535
Bac.3.P.A.K	25.42947379
Bac.3.P.A.L	24.31646158
Bac.3.P.A.M	23.26194992
Bac.3.P.B.K	21.51124535
Bac.3.P.B.L	23.37167615
Bac.3.P.B.M	24.97946895
Bac.3.P.C.K	28.27032774
Bac.3.P.C.L	26.83435162
Bac.3.P.C.M	31.41147228
Bac.3.P.D.K	28.90707137
Bac.3.P.D.L	25.86687462
Bac.3.P.D.M	29.57802045
