SampleID	shannon_entropy
Bac.1.H.A.K	7.970680025
Bac.1.H.A.L	8.08916349
Bac.1.H.A.M	7.934697182
Bac.1.H.B.K	8.303849113
Bac.1.H.B.L	8.093087648
Bac.1.H.B.M	7.960988367
Bac.1.H.C.K	8.235546059
Bac.1.H.C.L	8.306332333
Bac.1.H.C.M	8.164213263
Bac.1.H.D.K	9.389608713
Bac.1.H.D.L	9.266283438
Bac.1.H.D.M	9.24290521
Bac.1.P.A.K	7.366825668
Bac.1.P.A.L	7.772212931
Bac.1.P.A.M	8.418574665
Bac.1.P.B.K	7.695067678
Bac.1.P.B.L	7.522534433
Bac.1.P.B.M	7.533173078
Bac.1.P.C.K	7.808964277
Bac.1.P.C.L	8.010634641
Bac.1.P.C.M	7.79256534
Bac.1.P.D.K	7.834704729
Bac.1.P.D.L	7.748334868
Bac.1.P.D.M	7.583999346
Bac.2.H.A.K	8.102041042
Bac.2.H.A.L	7.889224006
Bac.2.H.A.M	7.971237063
Bac.2.H.B.K	7.79216402
Bac.2.H.B.L	7.72364535
Bac.2.H.B.M	7.771243362
Bac.2.H.C.K	7.749329489
Bac.2.H.C.L	8.214986044
Bac.2.H.C.M	7.685768181
Bac.2.H.D.K	8.119454991
Bac.2.H.D.L	7.875601979
Bac.2.H.D.M	7.719630634
Bac.2.P.A.K	7.747519496
Bac.2.P.A.L	7.627732912
Bac.2.P.A.M	7.798619736
Bac.2.P.B.K	7.61938854
Bac.2.P.B.L	6.856056724
Bac.2.P.B.M	7.937567977
Bac.2.P.C.K	8.024021962
Bac.2.P.C.L	7.073644224
Bac.2.P.C.M	7.85998433
Bac.2.P.D.K	8.085624984
Bac.2.P.D.L	7.682033786
Bac.2.P.D.M	7.432841283
Bac.3.H.A.K	7.925629139
Bac.3.H.A.L	6.958640502
Bac.3.H.A.M	8.224113869
Bac.3.H.B.K	7.053927649
Bac.3.H.B.L	7.539009289
Bac.3.H.B.M	7.324954968
Bac.3.H.C.K	8.062116701
Bac.3.H.C.L	7.880498896
Bac.3.H.C.M	7.908502747
Bac.3.H.D.K	7.826994146
Bac.3.H.D.L	8.145494759
Bac.3.H.D.M	7.715594061
Bac.3.P.A.K	7.473911891
Bac.3.P.A.L	7.356324363
Bac.3.P.A.M	7.234898813
Bac.3.P.B.K	7.207542398
Bac.3.P.B.L	7.493191687
Bac.3.P.B.M	7.542010499
Bac.3.P.C.K	8.060411605
Bac.3.P.C.L	7.912773394
Bac.3.P.C.M	8.056338493
Bac.3.P.D.K	8.237278506
Bac.3.P.D.L	7.790073684
Bac.3.P.D.M	7.51893402
