"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"70e244057dff1f02d1ea20bac16f8173",5.22584450359102,-1.9929782538925,0.761616684985005,-2.61677336274708,0.00887652563531068,0.0226995839715608,"k__Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sporidesmium","Sporidesmium_guizhouense"
"a84316c523ecb986cdba32417e22b51e",5.0542551477419,2.7303452552397,0.811350267882677,3.36518685371841,0.000764918389498324,0.00301110731104102,"k__Fungi","Chytridiomycota","Spizellomycetes","Spizellomycetales","unidentified","unidentified","Spizellomycetales_sp"
"7d67ea12596033b36cf54664853c02b7",4.88500675349279,-2.36627733858562,0.779827212194544,-3.03436107586779,0.0024104574352235,0.00786570320967668,"k__Fungi","Ascomycota","Sordariomycetes",NA,NA,NA,NA
"53baa6c067435976cef1a9adac9a7cf1",4.03290195600804,-2.02798557206869,0.770131520524629,-2.63329771347001,0.00845601900291557,0.0222944339758619,"k__Fungi","Ascomycota","Dothideomycetes","Pleosporales","Didymellaceae",NA,NA
"6a083c4c81c5619761252c3a45e35ade",7.22059050818356,-2.16892904215214,0.734867015562636,-2.95145787771076,0.00316277681480821,0.00968356358114117,"k__Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Teratosphaeriaceae","Xenopenidiella","Xenopenidiella_tarda"
"ef305c1b293748a12a75ccae7d3242dc",11.3886366608424,-3.49252020127736,0.720013861758766,-4.85062911531487,1.23070487758145e-06,8.7204231325771e-06,"k__Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","unidentified","Bolbitiaceae_sp"
"ad5aef6d2c740d151f68d82255bd8cb3",6.54704885869541,-2.83827094953879,0.739157615639317,-3.83987242975761,0.000123098258734148,0.000555061239383066,"k__Fungi","Ascomycota","Sordariomycetes","Hypocreales","Hypocreales_fam_Incertae_sedis","Sporidesmium","Sporidesmium_guizhouense"
"0f311a064425a2c80560c87389eb98e9",5.93568833311017,-2.67650361019967,0.799134344168805,-3.34925363892795,0.000810295807756877,0.00309159015882624,"k__Fungi","Glomeromycota","Glomeromycetes","Glomerales","Glomeraceae","Funneliformis","Funneliformis_sp"
"d4dc96b670c88c9cbc2fc1a59366f779",18.4405445879572,5.19338700851144,0.800388558210136,6.48858227074749,8.66478381207931e-11,1.19381465855315e-09,"k__Fungi",NA,NA,NA,NA,NA,NA
"65748616eea656fb688a4f186cec0d98",7.42600524217155,2.26033563885672,0.889293540553869,2.54172051834419,0.0110308337945671,0.0270856116935904,"k__Fungi","Basidiomycota","Agaricomycetes","Cantharellales","Ceratobasidiaceae",NA,NA
"55d13e8f17ecef54e36a96cf0cb54553",14.2233801099446,-4.04734278840385,0.754000220393432,-5.36782706282497,7.9690909129438e-08,6.71123052422219e-07,"k__Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","Nemania_thailandensis"
"1542ea4115d5a758d10ac9f64a1df91e",15.9430957652554,3.15629923687515,0.740819211541015,4.26055262566636,2.03922057915752e-05,0.000105359729923138,"k__Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Lectera","Lectera_capsici"
"baee573f171f855c594675cca9c9f651",6.22881578399513,-1.98928996101068,0.756403706630196,-2.6299315346735,0.00854020656333418,0.0222944339758619,"k__Fungi","Basidiomycota","Agaricomycetes","Agaricales","Strophariaceae","Psilocybe","Psilocybe_sp"
"9629955c3a6764021fd3d58d16956b92",4.16323999999068,2.85749746084656,0.808692476476155,3.53347847787331,0.000410129480404204,0.00169520185233738,"k__Fungi","Ascomycota","Sordariomycetes","Hypocreales","Stachybotryaceae",NA,NA
"994bf948cf882891f98fba0d9a26f45f",8.189911162668,-2.17033721142142,0.777201278417921,-2.79250339865546,0.00523019181643232,0.014574017645789,"k__Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora",NA
"13897ae2d1ef88c9b2aef10e0cda48a5",8.53001479015508,-1.92539339034119,0.626224833156171,-3.07460402142983,0.00210782202684922,0.00696986483544808,"k__Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Cyphellophoraceae","Cyphellophora","Cyphellophora_fusarioides"
"a853e2cbc38ded3531e1e8e80be49107",4.27658401949099,2.17276196071246,0.725942451666587,2.993022319778,0.00276229546987845,0.00878268303243404,"k__Fungi","Glomeromycota","Archaeosporomycetes","Archaeosporales","Archaeosporaceae","Archaeospora","Archaeospora_sp"
"7802fc6e905d9cbca7e9ff5786b3392e",6.77387433807805,-1.98508770928537,0.752627159255354,-2.63754461272618,0.00835086403250038,0.0222689707533343,"k__Fungi","Mucoromycota","Mucoromycetes","Mucorales","Cunninghamellaceae","Absidia","Absidia_cuneospora"
"ff2267dec154aa893567a7bf00eda960",2.92837263769561,2.33211046231641,0.69125472788024,3.37373527913208,0.000741556439870386,0.0029700633326828,"k__Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Coniosporium","Coniosporium_apollinis"
"cf54a648b262eb01852b09bd2619f448",11.9161093339125,4.50325297499563,0.931601634052942,4.83388264939402,1.33895534892943e-06,8.97461963606754e-06,"k__Fungi","Mortierellomycota","Mortierellomycetes","Mortierellales","Mortierellaceae","Mortierella","Mortierellaceae_sp"
"05018c2bde2af8a769c693507302ac48",4.19292006865853,-2.06425406387721,0.828036971815127,-2.4929491485775,0.0126686988451658,0.0305032748893312,"k__Fungi","Ascomycota","Sordariomycetes","Magnaporthales","Magnaporthaceae","Pseudophialophora","Pseudophialophora_schizachyrii"
"82e558c70f63cfc40f7dc1b56762a346",20.3581160770002,-4.60117369211848,0.635422719664463,-7.24112240517328,4.44986553111338e-13,7.88261894082941e-12,"k__Fungi","Ascomycota","Sordariomycetes","Xylariales","Amphisphaeriaceae","Microdochium","Microdochium_ratticaudae"
"22d8054082ef0601dd038b86f5dee78a",2.8780162246863,2.18459395763751,0.778137723894663,2.80746439936542,0.00499331987555929,0.0140720832856671,"k__Fungi",NA,NA,NA,NA,NA,NA
