	Fun.1.H.A.K	Fun.1.H.A.L	Fun.1.H.A.M	Fun.1.H.B.K	Fun.1.H.B.L	Fun.1.H.B.M	Fun.1.H.C.K	Fun.1.H.C.L	Fun.1.H.C.M	Fun.1.H.D.K	Fun.1.H.D.L	Fun.1.H.D.M	Fun.1.P.A.K	Fun.1.P.A.L	Fun.1.P.A.M	Fun.1.P.B.K	Fun.1.P.B.L	Fun.1.P.B.M	Fun.1.P.C.K	Fun.1.P.C.L	Fun.1.P.C.M	Fun.1.P.D.K	Fun.1.P.D.L	Fun.1.P.D.M	Fun.2.H.A.K	Fun.2.H.A.L	Fun.2.H.A.M	Fun.2.H.B.K	Fun.2.H.B.L	Fun.2.H.B.M	Fun.2.H.C.K	Fun.2.H.C.L	Fun.2.H.C.M	Fun.2.H.D.K	Fun.2.H.D.L	Fun.2.H.D.M	Fun.2.P.A.K	Fun.2.P.A.L	Fun.2.P.A.M	Fun.2.P.B.K	Fun.2.P.B.L	Fun.2.P.B.M	Fun.2.P.C.K	Fun.2.P.C.L	Fun.2.P.C.M	Fun.2.P.D.K	Fun.2.P.D.L	Fun.2.P.D.M	Fun.3.H.A.K	Fun.3.H.A.L	Fun.3.H.A.M	Fun.3.H.B.K	Fun.3.H.B.L	Fun.3.H.B.M	Fun.3.H.C.K	Fun.3.H.C.L	Fun.3.H.C.M	Fun.3.H.D.K	Fun.3.H.D.L	Fun.3.H.D.M	Fun.3.P.A.K	Fun.3.P.A.L	Fun.3.P.A.M	Fun.3.P.B.K	Fun.3.P.B.L	Fun.3.P.B.M	Fun.3.P.C.K	Fun.3.P.C.L	Fun.3.P.C.M	Fun.3.P.D.K	Fun.3.P.D.L	Fun.3.P.D.M
Fun.1.H.A.K	0.0	23.859532450103472	26.31214416735595	29.933176419632566	22.305659781643875	27.55213663569557	22.65112842614422	26.918631531998177	28.19026403233716	24.927797144773265	27.87252835993256	25.315399134993342	25.159273459941712	28.10180660204505	26.757718443430843	29.339105252181028	25.109773845486476	26.640130383077896	25.444790797440533	29.28127479294861	25.552270569118367	28.38912137135948	26.97262581582621	30.38804953815364	24.32521332489316	24.235474957716153	24.520338476828208	25.463714948515978	25.590979135881526	25.179762242479256	23.393881026488653	28.10319676412631	24.537525581866706	25.257932414633288	24.247250905295825	28.249220847596547	20.519397799964512	21.470284315511453	23.644812143390233	25.861963812648423	24.39064470051466	24.636819377769466	24.284468856801766	24.618674966770115	25.693224370492214	27.848870354810217	25.661547389190726	26.201748127162066	23.185631491631728	25.604555396024114	25.53297366749526	27.121883682002945	24.430419861963465	24.577567615456534	25.064207566285308	25.60584114721688	25.869220692849456	25.616358156353527	31.829002946304467	25.15614556894188	25.074051795566312	26.740311866536032	24.132496464726824	27.60758417964306	24.227293095665164	23.6369412731266	26.642940879855608	26.842161519392093	23.77929407476151	26.272212895016114	26.34004576481377	26.42365721213148
Fun.1.H.A.L	23.859532450103472	0.0	25.93035797719826	29.657661838288	22.345781014174243	27.928872555378273	24.065162599922186	26.065733681314583	28.762860916479795	23.442433433964773	25.58788856872939	24.774494288508674	27.445550471416343	26.502395279008816	27.109322770679935	30.111942600764333	24.736255837135857	27.469404401983766	26.985485351257616	28.021370931315083	25.678601402735556	26.94552295145649	25.70345628815159	29.406070150358804	28.537962834513067	21.313888460895246	24.7299127282942	25.370631419914996	27.03794377865821	27.624237866836328	25.374751927835685	26.968224943920365	24.049862335981338	24.83389951051971	25.280757820425215	27.413921632952533	24.52125536993503	18.35524936121658	22.702518479684915	26.117188878108685	24.718661764744223	25.575298997978713	24.909545820847868	23.684160930309027	26.645204286901517	26.207585146043378	24.776655569749718	24.23520758509753	26.07559087801727	23.23167003922822	26.246660793664695	26.062213824618663	24.646087566560468	25.268237984466392	26.644835900555403	24.576782738443182	25.26299554875785	24.473742043625542	31.96571454626678	25.098723739501704	26.18453376689584	25.00911439202535	24.32850781639418	27.196524339128782	24.521652981292686	24.350456383131192	25.833318357759964	25.740921500209197	24.676168592385196	25.891331538464943	25.122775777027538	25.216985316666303
Fun.1.H.A.M	26.31214416735595	25.93035797719826	0.0	29.846261740933855	25.925180387208567	29.314824606881242	27.252205119058225	27.60642894388936	29.674219905524293	27.378784385522753	28.863917287623924	25.46056637800029	27.33051123072609	24.372045772152227	24.20999412364938	28.864353617628456	25.957921653275154	27.124078999982007	28.405152661205438	28.080403478837948	26.07734427436694	28.72911642305135	27.22598822032908	30.74781933011412	27.896570374552432	27.50976967526285	25.11474931887857	26.392219790754943	26.13520895674163	27.630176235785004	27.082606751490175	29.4930338941994	25.652103582532476	28.99874313179881	28.122442192037514	29.026591579808564	25.41689550611416	25.185586135265584	24.18798426030892	26.395822806749116	26.489889167369483	26.80760709111285	26.300832774968022	27.104012039446918	27.912417762213217	30.6212570065765	28.022580438359533	26.44806394870311	29.385434690650744	28.627875293066065	26.789546923544627	28.394136014031965	27.7030975764407	28.692143961891954	28.046850814503994	27.086774007476972	27.390320866856197	28.971495641717176	32.9483679735908	27.283949792982853	28.940040474626738	28.777689482949356	26.937015196023058	30.91932244323309	28.492644875608537	28.147241458510514	29.964962096147303	29.5131160091736	27.071780870917475	29.67555295794632	29.476846802283255	29.962504564335713
Fun.1.H.B.K	29.933176419632566	29.657661838288	29.846261740933855	0.0	28.57261267631544	29.566810414998493	29.769517010995806	28.979177215320572	28.97511285722285	29.86447592016025	30.326805998857967	27.991863578862656	30.197625037766244	29.006682821614582	29.228283754317946	27.41997247308869	29.491022603603124	30.650736443835306	30.408013204465682	31.209647438640758	30.054678314738332	30.66264070912944	30.647835301152075	29.663524328226845	30.698725848852387	31.77764558463763	29.02548166229843	27.46827001615625	29.568761793812357	30.911729377815533	30.288888288970835	29.176951160559547	29.05101715738967	32.36303340138267	30.195074157354696	31.666446766359723	30.01148891789854	30.411161536353514	29.98206783853818	27.276653722088795	30.154058648675136	29.650429788555396	30.009527061808722	29.235439597189327	30.1587605124082	32.90892250354911	28.29514150190546	29.48387321283374	31.935968592089967	32.14242478892358	29.333183603077938	29.505144252916807	29.55154632737033	32.99059058510348	32.31149220574087	30.29465436170791	30.064980354999456	32.40441077817777	31.981444422196642	31.076570862463477	33.40465320468928	33.31635840071258	32.04850258422173	34.46155331622365	32.31963664366954	32.62636918740277	34.68153374545606	32.82940335201375	30.87182158903195	32.80165992832778	33.98064156412225	34.034434203341085
Fun.1.H.B.L	22.305659781643875	22.345781014174243	25.925180387208567	28.57261267631544	0.0	28.005853894745854	21.913691922435454	24.47441266186686	27.14090431210346	22.393406514636343	24.642086021094823	22.604105335659064	25.707403376354847	26.839003881571706	25.542958427316318	27.604555197539515	19.971987154039176	26.380402649015128	22.96250240331931	27.837689145881185	23.700682426790955	26.29398837532058	23.003184014969804	28.577803575153673	25.407038775515193	21.482281820416574	23.608690158886574	22.43627622938319	21.501759431296232	24.25899709301534	21.41988099101305	24.392256711488084	21.64724279587213	21.306352644000096	20.50625596282962	25.075555577626933	21.325949105757225	21.68907805411565	22.39902581132077	24.446096213569486	20.2147064172512	23.969645666870562	20.575549447861118	22.12418929927405	25.01007534851525	25.18436161598044	21.911517709589727	22.28045611061889	22.873795213352956	23.359822508099715	24.423262539804693	23.099652815387625	20.280707550877057	22.582378136326163	21.795193458961016	21.696114468176567	21.815472749300593	21.57765828266882	28.91370217414602	22.311783511755525	22.142596730777726	22.222204958853855	21.801108371306515	23.243433180208637	19.496982703046704	21.085639032394173	22.08059967025433	21.950052271311456	21.53473398471393	21.893281308964102	21.822037305740004	22.333741505041058
Fun.1.H.B.M	27.55213663569557	27.928872555378273	29.314824606881242	29.566810414998493	28.005853894745854	0.0	28.180194787746867	28.89510110670659	29.82989798703784	27.64712857380324	30.208230919442798	28.241165305853155	29.890777618230803	31.380553118989248	30.080767863625425	29.58193720222169	29.633192612397124	27.614637526595125	30.69587406626869	31.873754701432993	29.036879195906995	32.06089312805636	31.299173182080384	31.733210446674494	29.686310700400675	28.853505215529616	26.676822857044115	28.084344250678832	28.937494836087833	26.639332360682214	28.47896411166353	29.328307063057583	26.129311984860575	29.51493750137015	28.36055722605533	30.474001016671963	29.626759334071757	28.037280160946395	27.07323183708015	27.23478356009488	28.588865305333318	25.202370755064152	28.278966015116662	27.903899927718598	28.49155037422411	30.925312863101666	28.722401917667877	29.794441141950685	31.118854896748143	30.69704505025777	28.33800531538912	28.991298648038978	28.215839847197223	28.985060831865134	28.50631033244972	28.718544667626993	28.514499569979165	29.455901548502794	32.117681339847024	28.95576892436217	30.685471654333966	31.149777194221063	28.503853245695794	32.53369081022033	29.516353666047024	29.480656917680317	32.44613312616185	30.775473084013626	27.665607571090135	30.940338387921003	31.503371377740347	31.59850456889621
Fun.1.H.C.K	22.65112842614422	24.065162599922186	27.252205119058225	29.769517010995806	21.913691922435454	28.180194787746867	0.0	25.13586101726814	28.753834872440265	24.727329549811063	25.70978511146667	23.531046565651014	26.13532380689474	27.54198212387908	26.739888449315412	28.449246237296656	24.613746140190667	27.07137032349658	24.635174089754575	28.228353437895947	24.113412717005737	27.831524586869826	24.838983898807967	29.532595052298117	25.66421925849833	24.461777768386067	24.86020205265638	23.590952837309985	24.767290271464976	24.62127053228585	20.34779999646559	25.457652189151577	23.318132178768472	24.010200906085085	21.59129254959853	24.74182142518619	24.19252553576602	23.52854930920698	23.310120085519337	25.760788615753196	24.147532940502675	24.432492840330422	21.04411628118574	23.903190429058466	24.883345197996803	27.390192082284315	23.38286157500604	25.00678954829293	24.743528677870355	24.565042461582127	24.619384047478984	24.815944825480344	23.356561739599	23.789498432913255	22.227090683046978	22.609337255122007	22.721085785408224	23.228069269061585	27.622981371029503	24.173474204137293	24.379310941140933	25.35106510130889	23.133282879432727	25.96148813114828	23.17960862044788	22.53909982707602	24.5235961389407	24.723357835004585	23.178554725654006	23.9138784762981	24.502275842877385	24.542021316130707
Fun.1.H.C.L	26.918631531998177	26.065733681314583	27.60642894388936	28.979177215320572	24.47441266186686	28.89510110670659	25.13586101726814	0.0	27.981731513099252	26.508837766002642	27.455424003507723	25.681220933455396	27.69527113954773	29.471464593635943	27.902303379684245	27.515282757883593	25.256191943882836	28.09759619479886	27.854359411279113	27.97985747234461	25.363947596612743	28.754786544866707	24.897981992141453	30.58038728567342	28.98146026539392	26.458420930365858	26.497563388060893	25.649315872338935	26.25973991901362	26.87859118326267	24.843746204306974	26.913960393888	24.98836274512301	25.64468311783731	24.900588500518353	26.205759281604198	26.11988477743443	25.715593320788376	24.59746140184764	24.155534070953564	26.3481971926774	25.601002406753782	24.296534023962995	25.53953083320554	27.731328467881948	28.46430764067732	25.97746181130272	25.579989229166284	28.639631685925494	27.449890654445497	26.680199543103335	27.186977498980493	25.927570198925665	26.386645206503985	26.381482517014526	23.41119612068727	25.440758313191548	25.686128634681424	29.900997176411373	26.03250729145898	27.690718071941404	26.761578412522702	25.860835162313595	28.086074674304374	26.60097288385692	26.250150816262483	27.7682614223732	26.232014694409962	25.13719549480041	25.914282373751934	27.01827583359931	27.068739021215407
Fun.1.H.C.M	28.19026403233716	28.762860916479795	29.674219905524293	28.97511285722285	27.14090431210346	29.82989798703784	28.753834872440265	27.981731513099252	0.0	28.625402448409783	26.959095220739947	26.3843104703492	29.758166337886095	29.4195527033808	29.711284832777874	29.742858837964693	29.047657988216663	29.289687410712432	27.841886791025097	31.38487857584609	27.16940701508923	29.63637691167557	28.367042415558227	29.653687144538523	29.252750345745508	30.496145261528767	28.636840301837996	28.89490346646982	28.84782509922839	29.038395747820076	28.499176336893367	28.708511207360363	25.853049502837045	30.423484959797765	28.796261931311513	30.01240662295841	29.061205366533336	29.31929989282286	28.9130508339222	28.806899449310443	29.1131734235958	28.10433273686645	27.54888065163662	27.075598054277123	27.51930566139674	32.1578809548122	26.73216523052401	27.22626508764781	30.666914206771413	32.806127002884736	30.45632373086088	30.736332270793394	28.164544580972073	30.718864335569027	30.475840330740976	30.048152993240045	28.177959687057072	30.574810079582335	31.529239922124432	29.17590246981434	31.109770623964117	31.90561802481271	29.938488062463954	32.84942912757037	30.048649845883034	29.800750130520825	32.24699893783115	31.339248480113064	27.18828888532767	30.834959881527688	31.486660218275233	31.44045261210806
Fun.1.H.D.K	24.927797144773265	23.442433433964773	27.378784385522753	29.86447592016025	22.393406514636343	27.64712857380324	24.727329549811063	26.508837766002642	28.625402448409783	0.0	24.469992836318998	24.814926363988146	27.148712531270252	28.919085109466373	28.367975852057132	29.504381915741256	25.773632143959496	28.914793912836736	25.915986738465556	28.91130120277793	26.01369162961136	25.053879258660213	25.13695992921587	30.132281820585575	27.986442714847506	24.05769379787885	26.72802588623883	25.928970368787933	26.72614218249571	27.63238573503376	25.480793662126807	25.746593467093646	23.846786430558225	23.086573221373015	24.48171401147788	27.619113347162394	24.47173524811333	22.201896843761226	24.413753339883446	24.032539710343443	24.56860442236147	22.89023470546139	24.42259037209569	23.708115903106936	24.82462568065129	23.177194637548038	24.002969612372326	24.713772018965024	27.802569110332673	26.686209573836795	26.64374166279011	26.506931539708244	25.64816631792426	25.257028900713976	25.307933626848534	24.003880463092553	25.140621865294527	23.186967380066307	31.613625066264273	24.439677798710413	26.526217358152525	26.243928563835325	25.91107056285576	26.64921252792929	25.531034078743307	24.649202403005877	26.198395986547673	25.571789649931667	24.976294059941186	24.121994137959355	25.079725767332526	24.95227363037694
