SampleID	observed_features
Fun.1.H.A.K	217
Fun.1.H.A.L	200
Fun.1.H.A.M	210
Fun.1.H.B.K	233
Fun.1.H.B.L	175
Fun.1.H.B.M	207
Fun.1.H.C.K	190
Fun.1.H.C.L	166
Fun.1.H.C.M	215
Fun.1.H.D.K	186
Fun.1.H.D.L	135
Fun.1.H.D.M	208
Fun.1.P.A.K	187
Fun.1.P.A.L	229
Fun.1.P.A.M	193
Fun.1.P.B.K	231
Fun.1.P.B.L	160
Fun.1.P.B.M	199
Fun.1.P.C.K	195
Fun.1.P.C.L	222
Fun.1.P.C.M	188
Fun.1.P.D.K	181
Fun.1.P.D.L	171
Fun.1.P.D.M	272
Fun.2.H.A.K	185
Fun.2.H.A.L	178
Fun.2.H.A.M	180
Fun.2.H.B.K	167
Fun.2.H.B.L	222
Fun.2.H.B.M	203
Fun.2.H.C.K	154
Fun.2.H.C.L	192
Fun.2.H.C.M	208
Fun.2.H.D.K	135
Fun.2.H.D.L	155
Fun.2.H.D.M	161
Fun.2.P.A.K	177
Fun.2.P.A.L	184
Fun.2.P.A.M	179
Fun.2.P.B.K	190
Fun.2.P.B.L	184
Fun.2.P.B.M	170
Fun.2.P.C.K	133
Fun.2.P.C.L	204
Fun.2.P.C.M	205
Fun.2.P.D.K	151
Fun.2.P.D.L	178
Fun.2.P.D.M	190
Fun.3.H.A.K	171
Fun.3.H.A.L	151
Fun.3.H.A.M	165
Fun.3.H.B.K	170
Fun.3.H.B.L	164
Fun.3.H.B.M	151
Fun.3.H.C.K	135
Fun.3.H.C.L	151
Fun.3.H.C.M	166
Fun.3.H.D.K	122
Fun.3.H.D.L	166
Fun.3.H.D.M	181
Fun.3.P.A.K	125
Fun.3.P.A.L	77
Fun.3.P.A.M	136
Fun.3.P.B.K	66
Fun.3.P.B.L	147
Fun.3.P.B.M	123
Fun.3.P.C.K	94
Fun.3.P.C.L	96
Fun.3.P.C.M	162
Fun.3.P.D.K	108
Fun.3.P.D.L	99
Fun.3.P.D.M	85
