SampleID	Axis1	Axis2
Fun.1.H.A.K	-3.25254971	-0.880140399
Fun.1.H.A.L	-3.356193074	0.323587473
Fun.1.H.A.M	-8.200015674	0.207777602
Fun.1.H.B.K	-12.17695087	-7.401597817
Fun.1.H.B.L	-0.476055109	0.427217687
Fun.1.H.B.M	-7.196127907	-7.83209262
Fun.1.H.C.K	-1.470786897	-1.887094597
Fun.1.H.C.L	-4.265950377	-1.668467019
Fun.1.H.C.M	-9.769176731	-4.585522235
Fun.1.H.D.K	-3.304293251	-0.681748168
Fun.1.H.D.L	-6.570006108	-1.391635912
Fun.1.H.D.M	-6.623002023	-0.089358235
Fun.1.P.A.K	-4.944120485	8.037950477
Fun.1.P.A.L	-12.45830243	6.096870683
Fun.1.P.A.M	-9.330218229	7.693064383
Fun.1.P.B.K	-13.00462291	2.52237585
Fun.1.P.B.L	-2.670991418	6.912646599
Fun.1.P.B.M	-11.13155305	5.369532518
Fun.1.P.C.K	-7.51526027	6.394465007
Fun.1.P.C.L	-12.01740177	6.474338389
Fun.1.P.C.M	-5.760743124	3.57671212
Fun.1.P.D.K	-10.23847787	6.218405691
Fun.1.P.D.L	-3.078195152	7.899884273
Fun.1.P.D.M	-14.08815588	1.268782184
Fun.2.H.A.K	0.860852352	-3.182447234
Fun.2.H.A.L	3.685923307	-3.343248067
Fun.2.H.A.M	0.018377571	-5.7030633
Fun.2.H.B.K	2.504209301	-5.486960104
Fun.2.H.B.L	-0.413311609	-4.615942515
Fun.2.H.B.M	-0.359653538	-4.40466236
Fun.2.H.C.K	5.188361845	-1.168228425
Fun.2.H.C.L	1.948984854	-8.902005972
Fun.2.H.C.M	-0.146935163	-4.443230679
Fun.2.H.D.K	6.226549823	0.092062324
Fun.2.H.D.L	5.007164379	-1.905042305
Fun.2.H.D.M	1.450062404	2.131304084
Fun.2.P.A.K	-0.971770589	0.975234612
Fun.2.P.A.L	-1.857586059	-0.048704499
Fun.2.P.A.M	-3.029608414	0.922028998
Fun.2.P.B.K	-7.059488378	-1.724493753
Fun.2.P.B.L	-1.404587857	0.317564845
Fun.2.P.B.M	-2.534219966	-4.022333489
Fun.2.P.C.K	2.593900777	1.173375138
Fun.2.P.C.L	-4.701386845	-1.419187407
Fun.2.P.C.M	-5.511631485	-3.643048396
Fun.2.P.D.K	-2.752336945	-0.526434278
Fun.2.P.D.L	-3.973746574	-3.320892517
Fun.2.P.D.M	-4.809681929	3.670718033
Fun.3.H.A.K	7.427104811	-2.614762985
Fun.3.H.A.L	7.190100622	-2.636822749
Fun.3.H.A.M	2.717225479	-3.733692695
Fun.3.H.B.K	7.00793232	-4.132023472
Fun.3.H.B.L	4.516858382	-4.836375976
Fun.3.H.B.M	7.803686079	-0.497850646
Fun.3.H.C.K	8.464599755	-1.958193237
Fun.3.H.C.L	6.092797608	-2.856748476
Fun.3.H.C.M	4.479463405	-5.210052716
Fun.3.H.D.K	8.87486104	-0.787205722
Fun.3.H.D.L	-0.266009435	-14.7477807
Fun.3.H.D.M	4.815860668	-2.267334792
Fun.3.P.A.K	9.599703859	2.953959493
Fun.3.P.A.L	11.16603554	5.069609633
Fun.3.P.A.M	6.861622474	3.210284964
Fun.3.P.B.K	12.98923608	5.957366718
Fun.3.P.B.L	8.389676503	2.818522635
Fun.3.P.B.M	8.687356986	3.84507786
Fun.3.P.C.K	11.79637543	5.611550951
Fun.3.P.C.L	10.72598607	5.138905155
Fun.3.P.C.M	3.133772881	2.92384021
Fun.3.P.D.K	9.307242826	1.317973309
Fun.3.P.D.L	10.13750955	6.99204034
Fun.3.P.D.M	11.02171011	6.011396229
