SampleID	shannon_entropy
Fun.1.H.A.K	4.99936992
Fun.1.H.A.L	4.966294421
Fun.1.H.A.M	4.795660437
Fun.1.H.B.K	5.625941113
Fun.1.H.B.L	4.15370246
Fun.1.H.B.M	5.551093123
Fun.1.H.C.K	4.325331557
Fun.1.H.C.L	4.561286513
Fun.1.H.C.M	5.444259574
Fun.1.H.D.K	4.760706681
Fun.1.H.D.L	5.134850062
Fun.1.H.D.M	4.744982677
Fun.1.P.A.K	4.541447013
Fun.1.P.A.L	5.236413238
Fun.1.P.A.M	4.411307891
Fun.1.P.B.K	5.293011456
Fun.1.P.B.L	3.663473524
Fun.1.P.B.M	5.139982339
Fun.1.P.C.K	4.798426729
Fun.1.P.C.L	5.571452851
Fun.1.P.C.M	4.361848376
Fun.1.P.D.K	5.357521727
Fun.1.P.D.L	4.205452202
Fun.1.P.D.M	5.857625281
Fun.2.H.A.K	4.134142524
Fun.2.H.A.L	4.141623524
Fun.2.H.A.M	4.385431195
Fun.2.H.B.K	4.209199651
Fun.2.H.B.L	4.746048943
Fun.2.H.B.M	4.804090443
Fun.2.H.C.K	3.101282308
Fun.2.H.C.L	4.832360739
Fun.2.H.C.M	4.595262235
Fun.2.H.D.K	4.041066061
Fun.2.H.D.L	3.895396969
Fun.2.H.D.M	4.249529677
Fun.2.P.A.K	4.527638149
Fun.2.P.A.L	4.862873624
Fun.2.P.A.M	4.34601005
Fun.2.P.B.K	4.910636509
Fun.2.P.B.L	4.379100826
Fun.2.P.B.M	5.009631371
Fun.2.P.C.K	3.311427562
Fun.2.P.C.L	5.188972969
Fun.2.P.C.M	5.20900348
Fun.2.P.D.K	5.229553422
Fun.2.P.D.L	5.012403851
Fun.2.P.D.M	4.611326531
Fun.3.H.A.K	4.079612161
Fun.3.H.A.L	4.073953483
Fun.3.H.A.M	4.042125106
Fun.3.H.B.K	3.486742625
Fun.3.H.B.L	3.850958198
Fun.3.H.B.M	3.882666231
Fun.3.H.C.K	3.097115158
Fun.3.H.C.L	3.353156384
Fun.3.H.C.M	3.945190683
Fun.3.H.D.K	3.504711786
Fun.3.H.D.L	4.93455865
Fun.3.H.D.M	3.830506551
Fun.3.P.A.K	3.552765255
Fun.3.P.A.L	2.520621779
Fun.3.P.A.M	3.434394238
Fun.3.P.B.K	2.917073631
Fun.3.P.B.L	3.405063869
Fun.3.P.B.M	3.407287028
Fun.3.P.C.K	3.415316636
Fun.3.P.C.L	2.678999625
Fun.3.P.C.M	4.10354368
Fun.3.P.D.K	3.317026176
Fun.3.P.D.L	3.177469509
Fun.3.P.D.M	3.27198306
